student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
1,14,other,public,graduate,5.3,78.7,yes,<15 min,no,group study,76.9,85.1,94.1,82.4,c
2,15,female,public,high school,7.8,92.5,yes,15-30 min,no,notes,90.3,79.2,95.6,100.0,a
3,18,male,private,high school,1.4,88.5,yes,<15 min,no,online videos,42.2,49.3,45.6,47.0,e
4,18,male,private,diploma,3.5,74.6,no,>60 min,no,mixed,56.4,53.9,64.0,57.2,d
5,15,male,public,no formal,5.2,82.7,yes,>60 min,yes,online videos,64.2,70.1,58.8,75.3,c
6,17,other,public,no formal,2.0,91.1,no,15-30 min,no,online videos,64.0,58.5,78.1,58.7,d
7,18,other,public,phd,4.1,76.6,yes,30-60 min,no,group study,64.5,65.2,72.7,71.2,c
8,16,female,public,graduate,7.9,73.2,yes,>60 min,yes,coaching,93.7,100.0,99.0,100.0,a
9,18,female,public,high school,2.9,75.6,yes,>60 min,yes,group study,54.2,58.8,50.1,53.1,e
10,18,male,public,diploma,3.1,96.0,yes,30-60 min,yes,coaching,71.5,52.1,52.5,53.6,e
11,18,other,public,graduate,5.3,65.4,yes,>60 min,no,group study,81.3,64.5,82.9,61.3,d
12,15,female,private,post graduate,6.0,68.3,yes,30-60 min,yes,textbook,92.8,91.7,95.1,81.5,c
13,19,other,private,no formal,6.8,84.1,yes,<15 min,no,coaching,100.0,100.0,100.0,95.4,a
14,18,male,private,post graduate,3.9,72.8,yes,15-30 min,no,group study,65.6,51.8,60.4,61.3,d
15,14,male,public,no formal,4.8,98.5,yes,15-30 min,no,group study,69.3,61.4,83.1,81.3,c
16,18,female,public,phd,4.1,78.0,yes,>60 min,yes,coaching,54.2,68.5,63.9,66.7,d
17,14,female,private,high school,2.7,76.3,yes,30-60 min,yes,online videos,72.7,68.7,43.6,58.6,d
18,19,female,private,post graduate,6.0,65.4,yes,<15 min,yes,notes,79.8,84.4,59.9,74.3,c
19,14,female,public,no formal,7.7,89.4,yes,>60 min,no,textbook,91.3,100.0,100.0,99.1,a
20,15,male,public,diploma,4.1,52.4,yes,15-30 min,no,mixed,48.3,54.4,69.8,60.4,d
21,17,other,private,high school,4.0,50.0,yes,30-60 min,yes,textbook,69.0,49.0,53.4,61.0,d
22,18,female,private,diploma,5.4,89.8,no,15-30 min,yes,textbook,92.9,89.0,100.0,85.0,b
23,19,other,public,diploma,6.2,54.2,yes,>60 min,no,textbook,81.8,67.2,63.2,76.2,c
24,19,male,private,phd,5.0,68.6,yes,<15 min,no,group study,65.3,73.1,75.3,65.8,d
25,19,female,public,high school,4.9,96.0,no,30-60 min,yes,mixed,92.5,69.9,93.3,85.0,b
26,19,male,private,high school,2.9,56.0,yes,>60 min,yes,online videos,48.7,46.1,46.7,45.5,e
27,18,female,private,phd,2.9,84.4,yes,15-30 min,no,online videos,52.3,39.2,41.0,50.3,e
28,18,male,private,phd,6.7,71.3,yes,15-30 min,yes,mixed,78.1,83.1,81.2,80.4,c
29,19,other,private,post graduate,2.0,97.6,yes,15-30 min,no,notes,46.7,34.6,34.1,50.7,e
30,17,other,public,phd,1.7,68.5,yes,>60 min,no,group study,39.7,39.4,29.3,41.3,e
31,15,other,private,graduate,1.2,65.9,yes,30-60 min,yes,notes,29.7,31.7,21.6,30.5,f
32,19,female,private,high school,4.7,54.4,yes,<15 min,no,mixed,51.9,63.8,51.0,59.1,d
33,19,other,private,no formal,7.8,60.9,yes,>60 min,no,mixed,100.0,100.0,100.0,91.0,b
34,19,male,private,phd,4.1,52.9,yes,<15 min,no,coaching,49.0,66.4,66.9,54.2,e
35,18,female,private,diploma,3.1,72.0,yes,<15 min,yes,notes,47.6,78.2,71.2,58.1,d
36,16,female,public,post graduate,6.8,71.0,no,15-30 min,yes,online videos,86.5,79.8,85.7,88.5,b
37,14,female,private,no formal,0.7,98.7,yes,30-60 min,yes,mixed,62.8,57.2,70.6,54.0,e
38,19,female,public,diploma,1.4,53.0,yes,30-60 min,yes,mixed,36.8,19.2,26.2,26.9,f
39,16,other,private,phd,4.7,95.3,yes,>60 min,yes,textbook,74.3,74.1,73.9,71.1,c
40,16,other,public,diploma,7.3,79.1,yes,>60 min,yes,notes,89.3,95.0,89.5,91.7,b
41,19,female,public,post graduate,4.1,87.3,yes,>60 min,no,textbook,74.3,72.4,53.3,68.0,d
42,17,male,private,post graduate,2.4,62.8,yes,>60 min,no,group study,45.1,56.0,39.0,38.6,f
43,16,other,public,no formal,1.1,81.1,yes,<15 min,yes,coaching,29.6,56.6,33.5,47.2,e
44,18,male,public,diploma,7.0,75.8,yes,<15 min,no,notes,91.4,83.0,97.2,88.6,b
45,17,other,public,no formal,7.7,68.4,yes,15-30 min,no,textbook,100.0,99.8,100.0,95.3,a
46,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,76.8,73.0,74.8,66.8,d
47,19,other,public,diploma,2.1,83.8,yes,>60 min,yes,textbook,56.4,49.5,55.2,59.3,d
48,18,other,private,graduate,6.4,62.0,yes,>60 min,yes,coaching,71.6,70.8,74.0,79.2,c
49,18,male,private,post graduate,2.7,58.3,yes,30-60 min,yes,notes,38.4,37.8,26.3,40.4,e
50,16,other,private,post graduate,0.5,60.5,yes,>60 min,no,textbook,24.5,38.8,32.3,27.1,f
51,18,male,private,high school,1.6,69.3,yes,>60 min,yes,online videos,52.4,54.2,32.9,46.3,e
52,17,male,public,graduate,5.8,75.7,yes,15-30 min,yes,group study,74.3,76.9,64.5,81.5,c
53,16,female,private,high school,7.6,84.7,yes,15-30 min,yes,mixed,100.0,94.1,100.0,100.0,a
